Date,Open,High,Low,Close,Adj_Close,Volume,Accumulation_Distribution_Line,On_Balance_Volume,Average_Directional_Index,Aroon_Oscillator,MACD,RSI,Stochastic_Oscillator,Simple_Moving_Average,Exponential_Moving_Average,Williams_%R
2014-08-18,24.622499,24.842501,24.495001,24.790001,22.066589,190288000,2733351480.861722,2172847600,17.860546790253093,32.0,0.22374699051501779,66.97812940744424,96.55172640280705,24.044519115384617,23.993169998702843,-3.448273597192941
2014-08-19,24.852501,25.17,24.83,25.1325,22.371456,277596000,2949713069.0970144,2450443600,19.09506220857252,92.0,0.2802111003398302,71.10550854759771,97.9729729729729,24.083749923076923,24.077564813613744,-2.0270270270271022
2014-08-20,25.110001,25.272499,24.987499,25.1425,22.380363,210796000,2968205425.56017,2661239600,20.425236986681764,96.0,0.32205379492804553,71.21862080523813,93.341917204567,24.134230692307693,24.15644890149421,-6.6580827954330095
2014-08-21,25.1425,25.235001,25.0275,25.145,22.382591,133912000,2985952068.169121,2795151600,21.660399280640345,96.0,0.35136583433558854,71.24892295400235,93.46995824325646,24.189999923076922,24.229674908790933,-6.530041756743552
2014-08-22,25.0725,25.3675,25.047501,25.33,22.547258,176736000,3121265438.723402,2971887600,23.057149026335917,100.0,0.3850847730812639,73.47449609122908,98.1684981684981,24.26913457692308,24.311180471102716,-1.8315018315019014
2014-08-25,25.4475,25.5425,25.32,25.385,22.596226,161080000,3054299596.0267744,3132967600,24.66469791296708,43.99999999999999,0.4115017789580051,74.11599348628314,92.9133858267717,24.337499961538462,24.39072265842844,-7.086614173228295
2014-08-26,25.355,25.375,25.215,25.2225,22.451574,132608000,2934123596.026775,3000359600,25.683180450403025,44.0,0.4145464214089216,68.8202962123047,85.60179977502811,24.404326846153843,24.452335794841147,-14.398200224971891
2014-08-27,25.254999,25.6425,25.174999,25.532499,22.72752,209476000,3045021969.557529,3209835600,27.11413129677524,52.0,0.43693691425326975,72.81137316366497,95.26368137782575,24.47557680769231,24.532347884112173,-4.736318622174252
2014-08-28,25.397499,25.695,25.389999,25.5625,22.754221,273840000,3080936192.2649956,3483675600,28.53192642565515,56.0,0.4518932272879752,73.16931299644241,93.32494039045824,24.524230615384617,24.608655448252012,-6.675059609541771
2014-08-29,25.715,25.725,25.549999,25.625,22.809853,178380000,3055454500.046093,3662055600,29.901248631481135,60.0,0.46344711097855296,73.93904931941512,94.5130315500685,24.57682676923077,24.683940229862976,-5.486968449931486
2014-09-02,25.764999,25.934999,25.68,25.825001,22.987886,214256000,3084864822.314023,3876311600,31.527916309206,64.0,0.4831723462235473,76.28377766749685,94.28581521341044,24.630961423076922,24.76846324987313,-5.7141847865895485
2014-09-03,25.775,25.799999,24.645,24.735001,22.017633,501684000,2661366278.204462,3374627600,29.38092192661971,64.0,0.406168785845999,49.922056526501756,30.83577041587367,24.63019226923077,24.765984564697344,-69.16422958412633
2014-09-04,24.7125,25.022499,24.4475,24.530001,21.835152,342872000,2416884998.438755,3031755600,27.64460837868716,64.0,0.3248563805832916,46.65643979473149,18.314022275594258,24.627692346153847,24.748504300645692,-81.68597772440575
2014-09-05,24.700001,24.8475,24.577499,24.7425,22.024303,233828000,2468847449.792639,3265583600,26.032317227035502,64.0,0.2743995003280837,50.28666335285108,19.831946105509868,24.63557696153846,24.7480595376349,-80.16805389449013
2014-09-08,24.825001,24.827499,24.512501,24.59,21.888559,185426800,2374661810.5187383,3080156800,24.69805011663527,64.0,0.21957545454035454,47.77396532106802,9.579838373000474,24.662115423076923,24.736351423736018,-90.42016162699953
2014-09-09,24.77,25.77,24.035,24.497499,21.806223,759385200,2020135279.8153389,2320771600,24.500307694079684,64.0,0.16674086078027628,46.26391598193639,24.342065443192382,24.680000038461536,24.718658651607424,-75.65793455680762
2014-09-10,24.502501,25.2775,24.440001,25.25,22.476049,403478400,2397116559.221762,2724250000,24.316689730278068,64.0,0.1834746250904118,57.91723112882789,63.947402077579994,24.73201930769231,24.758017270006874,-36.052597922420006
2014-09-11,25.102501,25.360001,24.905001,25.3575,22.571741,249412400,2643787067.299126,2973662400,24.29644408672682,64.0,0.2030697438508824,59.27592244354374,69.6052997922631,24.792692346153846,24.802423398154513,-30.39470020773691
